gid,stream_name,reservation,site_number,river_basin,river_code,drainage_area(mi2),survey_reach(ft),latitude,longitude,river_mile,date,scorers,comments,stream_channel_mod,substrate_metric_total,percent_best_types,substrate_metric_a,substrate1,substrate2,per_boulder_slabs,per_boulder_256mm,per_bedrock,per_cobble,per_gravel,per_sand,per_silt,per_leaf_woody,per_detritus,per_clay_hardpan,per_muck,per_artificial,substrate_metric_b,pool_metric_total,pool_depth_(cm),bankfull_metric_total,average_bankfull_(m),riparian_width_left,riparian_width_right,floodplain_quality_left,floodplain_quality_right,flow_regime,sinuosity,stream_gradient,qhei_done,designated_use,watershed,usgs_quad,soil_map_page,soil_map_order,county,city_twp_name,base_flow,date_last_rain,amt_last_rain,turbid,%_canopy_open,water_sample,temp,dissolved_oxygen_mgl,ph,conductivity,reach_representative,fish_observed,fish_sample_method,fish_time_collecting_minutes,frogs_tadpoles_observed,salamanders_observed,salamander_sample_method,salamander_time_collecting_minutes,aquatic_macros_observed,macro_time_collecting_minutes,macro_vouchers_collected,macro_comments,mountain_dusky_larvae,mountain_dusky_juveniles,mountain_dusky_adults,northern_dusky_larvae,northern_dusky_juveniles,northern_dusky_adults,two_lined_larvae,two_lined_juveniles,two_lined_adults,long_tailed_larvae,long_tailed_juveniles,long_tailed_adults,northern_red_larvae,northern_red_juveniles,northern_red_adults,mole_larvae,mole_juveniles,mole_adults,four_toed_larvae,four_toed_juveniles,four_toed_adults,red_backed_juveniles,red_backed_adults,slimy_juveniles,slimy_adults,blacknose_dace,bluegill_sunfish,bluntnose_minnow,brindled_madtom,brook_stickleback,brook_trout,brown_trout,central_mudminnow,central_stoneroller_minnow,common_shiner,creek_chub,eastern_sand_darter,fantail_darter,fathead_minnow,golden_shiner,goldfish,grass_pickerel,greenside_darter,green_sunfish,johnny_darter,largemouth_bass,longear_sunfish,longnose_dace,mottled_sculpin,northern_hog_sucker,pumpkinseed_sunfish,rainbow_darter,rainbow_trout,redbelly_dace,redside_dace,river_chub,silverjaw_minnow,smallmouth_bass,spotfin_shiner,stonecat_madtom,striped_shiner,trout_perch,warmouth_sunfish,white_sucker,yellow_bullhead_catfish,unidentified_fish_fry,sessile_animals,aquatic_worms,sow_bugs,scuds,water_mites,damselfly_nymphs,alderfly_larvae,other_beetles,crayfish,dragonfly_nymphs,riffle_beetles,other_flies,midges,snails,clams,fishfly_larvae,water_penny_beetles,cranefly_larvae,ameletidae,arthropleidae,baetidae,baetiscidae,caenidae,ephemerellidae,ephemeridae,heptageniidae,isonychiidae,leptohyphidae,leptophlebiidae,polymitarcyidae,potamanthidae,pseudironidae,siphlonuridae,capniidae,chloroperlidae,leuctridae,nemouridae,peltoperlidae,perlidae,perlodidae,pteronarcyidae,taeniopterygidae,brachycentridae,dipseuodopsidae,glossosomatidae,goeridae,helicopsychidae,hydropsychidae,hydroptilidae,lepidostomatidae,leptoceridae,limnephilidae,molannidae,odontoceridae,philopotamidae,phryganeidae,polycentropodidae,psychomiidae,rhyacophilidae,uenoidae,total_mayfly,total_stonefly,total_caddisfly,total_ept,hhei_score,hmfei_score,hmfei_narrative
"782",,Camp Bradlo,CB-05,"13","100",,200,41.21292,-81.68255,,2009/07/08,"JS, RS, AR",,none/natural channel,"22",17,"15",gravel,sand,0,5,0,12,45,18,10,5,0,5,0,0,"7","20",39,"20",2.13,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,>3.0,flat to moderate,no,WWH,East Branch Rocky River,West Richfield,,,Summit,Richfield,yes,2009/07/02,0.15,no,25,no,16.7,7.78,8.2,0.52,yes,yes,visual and dip net,10,no,yes,visual,"9",yes,"48",,,,,,,,,,,"1",,,,,,,,,,,,,,,,,common,,,,,,,,,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,common,rare,abundant,common,abundant,rare,abundant,,,common,abundant,abundant,common,,rare,,,,,common,,,,,,,,,,abundant,rare,,common,,,,,,,,,common,,,,,,,common,,common,,,abundant,"3","3","4","10","62","50",Class III/Spring Water
"783",13-100-26.57I,Hinckley,"23","13","100",0.12,200,41.20969,-81.68235,26.57,2019/07/01,"CW, OL, BC, KW",,none/natural channel,"22",15,"15",gravel,sand,0,5,0,10,40,30,2,3,0,10,0,0,"7","25",17.7,"15",1.37,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"0.5",moderate to severe,no,WWH,East Branch Rocky River,West Richfield,"15","0",Summit,Richfield,yes,2019/06/29,0.02,no,45,no,18.5,,,,yes,yes,,,no,no,,,yes,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,common,,,,,,,,,,abundant,common,common,,,,abundant,,,abundant,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,,,,,,,,,,,,,"1",,"1","2","62","13",Class II/Warm Water
"784",13-100-27.70I,Hinckley,"19","13","100",0.00139,200,41.21985,-81.68038,27.7,2008/06/16,"CW, JS, NM",,none/natural channel,"13",5,"6",sand,clay or hardpan,0,4,0,1,5,37,10,10,0,33,0,0,"7","15",9,"5",0.98,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,"1.5",severe,no,WWH,East Branch Rocky River,West Richfield,"7","0",Summit,Richfield,yes,2008/06/15,0.5,no,15,no,19.6,5.4,7.36,0.406,yes,no,visual,15,no,no,visual,"15",yes,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,rare,abundant,,,,,,,,,,,,,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"1","33","6",Class I/Ephemeral
"785",19-009-5.25III-8I,Brecksville,"177","19","9",,200,41.30116,-81.67904,5.25,2010/10/22,"CW, NM",,none/natural channel,"17",9,"9",sand ,silt,1,1,0,7,18,35,21,6,0,11,0,0,"8","15",6.8,"20",2.02,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,"1",moderate to severe,no,WWH,Chippewa Creek,Broadview Heights,"60","1",Cuyahoga,Broadview Heights,yes,2010/10/18,0.1,no,18,no,,,,,yes,no,,0,no,no,visual and dip net,"10",yes,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,,,,,,,,,,,,abundant,abundant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52","3",Class I/Ephemeral
"786",13-100-27.60II,Hinckley,"207","13","100",0.0783,200,41.21923,-81.68,27.6,2014/07/10,"CW, OL, JM, FN",,none/natural channel,"16",3,"9",clay or hardpan,gravel,0,1,0,2,30,32,2,1,0,42,0,0,"7","30",24,"20",2.37,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"2",moderate,no,WWH,East Branch Rocky River,West Richfield,"7","1",Summit,Richfield,yes,2014/07/08,0.61,no,18,no,18.9,5.62,7.82,0.64,yes,no,visual and dip net,5,yes,no,visual and dip net,"10",yes,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,common,,,,rare,abundant,abundant,,,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,,,,,,,,,,,,"1","1","66","11",Class II/Warm Water
"787",,Camp Bradlo,CB-04,"13","100",,200,41.21316,-81.67975,,2009/07/08,"CW, NM, GB",,none/natural channel,"13",7,"6",clay or hardpan,sand,0,3,0,4,7,20,12,10,0,35,0,0,"7","25",19.1,"15",1.11,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,>3.0,moderate to severe,no,WWH,East Branch Rocky River,West Richfield,,,Summit,Richfield,yes,2009/07/02,0.15,no,20,no,,,,,yes,no,,0,no,no,visual and dip net,"5",yes,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,rare,rare,,,,rare,rare,,,,rare,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,,,rare,,,,,,,,,,,,,,"1","1","2","53","15",Class II/Warm Water
"788",13-100-27.92I,Hinckley,"16","13","100",0.17,200,41.22351,-81.67945,27.92,2008/06/11,"CW, JS, NM",,none/natural channel,"21",12,"15",gravel,sand,0,7,0,5,50,30,3,5,0,0,0,0,"6","25",22,"15",1.12,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,>3.0,moderate,no,WWH,East Branch Rocky River,West Richfield,"7","2",Summit,Richfield,yes,2008/06/10,1,no,20,no,23.4,,7.65,0.44,yes,yes,visual and dip net,30,yes,no,visual and dip net,"30",yes,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,rare,,,,common,,common,rare,rare,abundant,rare,abundant,rare,common,,,,,,,,,,,,,,,,,,,,,,,,common,,,,,,,,,abundant,,,,,,,abundant,,,,,,,"1","2","3","61","22",Class III/Spring Water
"789",13-100-27.92I,Hinckley,"16","13","100",0.17,200,41.22353,-81.67943,27.92,2014/07/10,"CW, OL, JM, FN",,none/natural channel,"22",3,"15",gravel,sand,0,1,0,2,44,25,1,7,0,20,0,0,"7","30",30,"15",1.5,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"2.5",moderate,no,WWH,East Branch Rocky River,West Richfield,"7","2",Summit,Richfield,yes,2014/07/08,0.61,no,50,no,21.4,6.13,7.34,0.578,yes,yes,visual and dip net,10,no,no,visual and dip net,"10",yes,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,rare,,,,rare,rare,very abundant,rare,abundant,rare,,,,rare,,,abundant,,,,,rare,,,,,,,,,,,,,,,,,,,,,,abundant,,,,,,,abundant,,,,,,"2",,"2","4","67","26",Class III/Spring Water
"790",13-100-29.30III-2II,Richfield Heritage Preserve ,"01","13","100",0.0792,200,41.2473904,-81.678391,29.3,2022/06/15,"CW, KN, CP",,none/natural channel,"23",36,"15",gravel,sand,0,6,20,10,30,24,5,4,1,0,0,0,"8","30",30,"20",1.62,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"2.5",moderate to severe,no,WWH,East Branch Rocky River ,West Richfield,,,Summit,Richfield,yes,2022/06/14,0.25,no,14,no,15,,,,yes,no,visual and dip net,20,yes,yes,visual and dip net,"20",yes,"60",no,,,,,,,,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,rare,rare,,common,abundant,,,common,,common,,,abundant,,,rare,,rare,,,abundant,,,,,,,abundant,rare,,rare,rare,,,,,,,,abundant,,common,,common,,,abundant,,,,,,"4","4","4","12","73","49",Class III/Spring Water
"791",,Camp Bradlo,CB-03,"13","100",,160,41.21397,-81.67875,,2009/07/08,"CW, NM, GB",,none/natural channel,"22",9,"15",sand,gravel,0,1,0,8,30,38,7,1,0,15,0,0,"7","25",15.9,"15",1.08,moderate,wide,"residential, park, new field",mature forest or wetland,stream flowing,"1",moderate,no,WWH,East Branch Rocky River,West Richfield,,,Summit,Richfield,yes,2009/07/02,0.15,no,35,no,16.1,,7.76,1.511,yes,no,,0,no,no,visual and dip net,"5",yes,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,common,common,rare,,common,abundant,common,,,,abundant,,,,,,,,,,,,,,,,,,common,,,abundant,rare,,,,,,,,common,,,,,,,,,,,,,,"3","1","4","62","24",Class III/Spring Water
"792",13-100-29.30III,Richfield Heritage Preserve ,"03","13","100",1.31,200,41.2439392,-81.6780348,29.3,2022/06/15,"CW, KN, CP, MT","Technically large enough for QHEI, but habitat features on edge.",none/natural channel,"22",25,"15",gravel,sand,0,4,0,21,42,28,2,1,0,2,0,0,"7","30",29,"30",4.89,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"1.0",moderate,no,WWH,East Branch Rocky River ,West Richfield,,,Summit,Richfield,yes,2022/06/14,0.25,no,20,no,20,,,,yes,yes,visual and dip net,10,yes,yes,visual and dip net,"20",yes,"40",no,,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,,,rare,rare,rare,,,common,,,rare,,common,,,common,,,rare,rare,abundant,,,,,,,,,,abundant,,,,,,,,,,,,abundant,,,,,,,abundant,,rare,,,,"4","1","3","8","82","37",Class III/Spring Water
"793",13-100-29.30III-12I,Richfield Heritage Preserve ,"02","13","100",0.0353,200,41.2451674,-81.6780134,29.3,2022/06/15,"CW, KN, CP",,none/natural channel,"24",6,"15",gravel,sand,0,3,0,3,37,30,9,11,2,4,1,0,"9","30",26,"20",1.63,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"2.0",moderate,no,WWH,East Branch Rocky River ,West Richfield,,,Summit,Richfield,yes,2022/06/14,0.25,no,15,no,17.5,,,,yes,no,visual and dip net,5,no,yes,visual and dip net,"20",yes,"40",no,,,,,,,,"1",,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,rare,rare,common,common,,rare,common,rare,,,,common,,,abundant,,,,,rare,,,abundant,,,,,,,common,,,rare,,,,,,,,,common,,common,,common,,,,,,,rare,,"3","2","4","9","74","40",Class III/Spring Water
"794",19-009-5.25III-2II,Brecksville,"175","19","9",0.058,200,41.30303,-81.67695,5.25,2010/10/20,"CW, NM",,none/natural channel,"10",2,"3",clay or hardpan,silt,0,1,0,1,0,8,30,10,0,40,10,0,"7","25",10.6,"20",2.58,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,"0.5",moderate,no,WWH,Chippewa Creek,Broadview Heights,"60","2",Cuyahoga,Broadview Heights,yes,2010/10/18,0.1,no,13,no,9.1,4.43,7.03,0.488,yes,no,,0,no,yes,visual and dip net,"10",yes,"30",,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,,,common,,,rare,common,rare,common,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,"1","1","55","11",Class II/Warm Water
"795",19-009-5.25III-7I,Brecksville,"173","19","9",0.038,200,41.3027,-81.67678,5.25,2010/10/20,"CW, NM",,none/natural channel,"7",1,"0",clay or hardpan,muck,0,0,0,1,6,8,10,10,0,35,30,0,"7","15",4.8,"20",1.95,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,"1",flat to moderate,no,WWH,Chippewa Creek,Broadview Heights,"60","1",Cuyahoga,Broadview Heights,yes,2010/10/18,0.1,no,16,no,,,,,yes,no,,0,no,yes,visual and dip net,"10",yes,"10",,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,common,,rare,,common,,common,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42","7",Class II/Warm Water
"796",19-009-5.25III-6I,Brecksville,"174","19","9",0.00888,200,41.30286,-81.67649,5.25,2010/10/20,"CW, NM",,none/natural channel,"11",3,"3",clay or hardpan,silt,0,1,0,2,4,7,21,9,0,48,8,0,"8","15",9.4,"20",2.08,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,"2",moderate,no,WWH,Chippewa Creek,Broadview Heights,"60","1",Cuyahoga,Broadview Heights,yes,2010/10/18,0.1,no,15,no,9.6,4.25,7.14,0.513,yes,no,,0,no,yes,visual and dip net,"10",yes,"20",,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,,,common,,,,abundant,rare,common,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,,,,"1","1","46","9",Class II/Warm Water
"797",19-009-5.25III-5I,Brecksville,"176","19","9",0.0597,200,41.30292,-81.67295,5.25,2010/10/20,"CW, NM, JG",,none/natural channel,"23",8,"15",gravel,sand,0,2,0,6,39,20,8,7,0,12,6,0,"8","25",12,"20",1.94,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,"1",moderate,no,WWH,Chippewa Creek,Broadview Heights,"60","1",Cuyahoga,Broadview Heights,yes,2010/10/18,0.1,no,35,no,12.1,2.84,7.14,0.996,yes,no,,0,no,no,visual and dip net,"10",yes,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very abundant,,,,,,rare,,,,abundant,,abundant,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68","5",Class I/Ephemeral
"798",19-001-9.88I,Ohio & Erie Canal,"1","19","1",,200,41.42585,-81.66241,9.88,2011/06/06,"CW, AD, KH, DM",,none/natural channel,"16",3,"9",clay or hardpan,gravel,0,0,0,3,25,20,3,7,0,35,0,7,"7","15",9,"20",1.53,moderate,moderate,"immature forest, shrub or old field","immature forest, shrub or old field",intermittent,"1.5",moderate to severe,no,WWH,Cuyahoga River,Cleveland South,"31","0",Cuyahoga,Cuyahoga Heights,yes,2011/05/29,0.23,no,20,no,,,,,yes,no,,0,no,no,visual and dip net,"5",yes,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,,,common,,,rare,common,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51","6",Class I/Ephemeral
"799",19-009-1.13III-5I,Brecksville,"82","19","9",0.0184,180,41.31059,-81.62554,1.13,2009/08/10,"CW, NM, GB",,none/natural channel,"21",4,"15",sand ,gravel,0,1,0,3,38,40,0,8,0,10,0,0,"6","25",18.2,"20",1.72,wide,narrow,mature forest or wetland,"residential, park, new field",stream flowing,"1.5",moderate,no,WWH,Chippewa Creek,Broadview Heights,"56","0",Cuyahoga,Brecksville,yes,2009/08/08,0.15,no,40,no,21.4,2.28,7.23,3.2,yes,no,visual and dip net,5,yes,yes,visual and dip net,"10",yes,"25",,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,common,,rare,abundant,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66","6",Class I/Ephemeral
"800",19-009-1.13III-4I,Brecksville,"83","19","9",0.0301,200,41.31024,-81.62548,1.13,2009/08/10,"CW, NM, GB",,none/natural channel,"8",1,"3",clay or hardpan,silt,0,0,0,1,0,0,18,16,0,60,5,0,"5","5",4.3,"15",1.07,moderate,narrow,"residential, park, new field","residential, park, new field",intermittent,"0.5",moderate,no,WWH,Chippewa Creek,Broadview Heights,"56","0",Cuyahoga,Brecksville,yes,2009/08/08,0.15,no,35,no,22.4,1.29,6.9,3.41,yes,no,,0,yes,no,visual and dip net,"10",yes,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,common,,rare,,common,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28","6",Class I/Ephemeral
"801",19-009-1.00IV-23I,Brecksville,"85","19","9",,200,41.30901,-81.6238,1,2009/08/10,"CW, NM, GB",,none/natural channel,"7",1,"3",clay or hardpan,silt,0,0,0,1,0,0,30,20,0,49,0,0,"4","0",0,"20",1.69,narrow,wide,"residential, park, new field",mature forest or wetland,ephemeral,"0",moderate,no,WWH,Chippewa Creek,Northfield,"56","0",Cuyahoga,Brecksville,yes,2009/08/08,0.15,no,65,no,,,,,no,no,,0,no,no,visual,"5",no,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27","0",Class I/Ephemeral
"802",19-009-1.13III-3I,Brecksville,"81","19","9",,200,41.31096,-81.62365,1.13,2009/08/10,"CW, NM, GB",,none/natural channel,"13",5,"6",clay or hardpan,sand,0,3,0,2,26,29,2,7,0,31,0,0,"7","5",4.8,"15",1.39,wide,narrow,mature forest or wetland,"residential, park, new field",intermittent,"0.5",moderate to severe,no,WWH,Chippewa Creek,Northfield,"56","0",Cuyahoga,Brecksville,yes,2009/08/08,0.15,no,20,no,22.6,2.91,7.13,0.965,yes,no,,0,no,yes,visual and dip net,"10",yes,"15",,,,,,,,,,,"1",,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,rare,rare,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33","6",Class I/Ephemeral
"803",19-009-1.00IV-22I,Brecksville,"84","19","9",0.0581,200,41.3082,-81.62358,1,2009/08/10,"CW, NM, GB",,none/natural channel,"23",21,"15",gravel,sand,0,3,12,6,40,26,1,4,0,8,0,0,"8","25",13.7,"20",2.51,moderate,wide,"residential, park, new field",mature forest or wetland,stream flowing,"1.5",flat to moderate,no,WWH,Chippewa Creek,Northfield,"56","2",Cuyahoga,Brecksville,yes,2009/08/08,0.15,no,20,no,23,4.01,7.54,1.877,yes,no,visual and dip net,5,no,yes,visual and dip net,"10",yes,"35",,,,,,,,,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,rare,,rare,common,abundant,,,,abundant,,,,,,,,,,,,,,,,,,common,,,,,,,,,,,,abundant,,,,,,,,,rare,,,,,"1","2","3","68","18",Class II/Warm Water
"804",19-009-1.13III-7I,Brecksville,"80","19","9",0.0103,200,41.31288,-81.62235,1.13,2009/08/10,"CW, NM, GB",,none/natural channel,"12",12,"6",clay or hardpan,sand,0,8,0,4,12,26,0,10,0,40,0,0,"6","0",0,"15",1.47,wide,wide,mature forest or wetland,mature forest or wetland,ephemeral,"1",moderate,no,WWH,Chippewa Creek,Northfield,"56","0",Cuyahoga,Brecksville,yes,2009/08/08,0.15,no,20,no,,,,,yes,no,,0,no,yes,visual,"10",no,"0",,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27","0",Class I/Ephemeral
"805",19-009-1.31III-4I,Brecksville,"72","19","9",,200,41.31769,-81.622,1.31,2009/08/07,"CW, GB",,none/natural channel,"12",8,"6",clay or hardpan,sand,0,4,0,4,10,24,0,18,0,40,0,0,"6","0",0,"15",1.43,narrow,wide,"residential, park, new field",mature forest or wetland,ephemeral,"0.5",severe,no,WWH,Chippewa Creek,Northfield,"56","0",Cuyahoga,Brecksville,yes,2009/08/02,0.15,no,18,no,,,,,yes,no,,0,no,yes,visual,"10",no,"0",,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27","0",Class I/Ephemeral
"806",19-009-1.00IV-20I,Brecksville,"87","19","9",0.0472,200,41.30623,-81.62208,1,2009/08/14,"CW, NM, GB",,none/natural channel,"23",23,"15",gravel,sand,0,2,1,20,40,24,3,2,0,8,0,0,"8","25",19.8,"20",1.76,narrow,narrow,"residential, park, new field","residential, park, new field",stream flowing,"1",moderate,no,WWH,Chippewa Creek,Northfield,"61","0",Cuyahoga,Brecksville,yes,2009/08/11,1,no,15,no,18.9,7.91,8.02,0.881,yes,no,,0,yes,yes,visual and dip net,"10",yes,"20",,,,,,,,,"25","5","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,,,rare,rare,rare,,,rare,,rare,,,abundant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,,,,,,,,,"1","1","68","14",Class II/Warm Water
"807",19-009-1.00IV-6II,Brecksville,"25","19","9",0.0761,100,41.30885,-81.62187,1,2003/07/02,JS,,recent or no recovery,"19",10,"12",silt,gravel,0,0,2,8,30,12,35,3,0,0,10,0,"7","15",9,"20",1.6,moderate,wide,"immature forest, shrub or old field","immature forest, shrub or old field",stream flowing,"1",flat to moderate,no,WWH,Chippewa Creek,Northfield,"56","1",Cuyahoga,Brecksville,yes,2003/06/30,0.15,no,90,no,21.8,,7.88,1.787,yes,no,,,no,no,visual,"8",yes,"35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,,,,,,rare,,rare,,common,,very abundant,,rare,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,,,,,abundant,,,,,,,,,,,,,,"1","1","2","54","15",Class II/Warm Water
"808",19-009-1.00IV-21I,Brecksville,"24","19","9",0.0197,200,41.30831,-81.62186,1,2003/07/02,JS,,none/natural channel,"32",45,"25",gravel,bedrock,0,5,25,15,40,10,0,3,0,2,0,0,"7","25",16,"15",1.38,wide,wide,"immature forest, shrub or old field","immature forest, shrub or old field",stream flowing,>3.0,moderate,no,WWH,Chippewa Creek,Northfield,"56","1",Cuyahoga,Brecksville,yes,2003/06/30,0.15,no,70,no,19.5,,8.01,2.67,no,no,,,yes,no,visual,"8",yes,"64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,abundant,,abundant,,abundant,,common,,,,,abundant,,,,,,,,,,,,,,,,,,common,,,,,,,,,,,abundant,,,,,,,,,,,,,"1","1","1","3","72","15",Class II/Warm Water
"809",19-009-1.00IV-19I,Brecksville,"86","19","9",0.00641,200,41.3058,-81.62163,1,2009/08/14,"CW, NM, GB",,none/natural channel,"13",11,"6",clay or hardpan,sand,0,4,1,6,22,26,0,7,0,34,0,0,"7","5",1.4,"20",1.66,narrow,narrow,"residential, park, new field","residential, park, new field",intermittent,"1.5",moderate to severe,no,WWH,Chippewa Creek,Northfield,"61","0",Cuyahoga,Brecksville,yes,2009/08/11,1,no,16,no,,,,,yes,no,,0,no,yes,visual,"10",yes,"10",,,,,,,,,,"5","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38","2",Class I/Ephemeral
